angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,racePos,rpm,speedX,speedY,speedZ,trackPos,z,accel,brake,steer,clutch,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3
0.00894148,-0.302,0.0,5759.1,0.0,93.9978,0,0.0,1,4345.29,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.282,0.0,5759.1,0.0,93.9974,0,0.0,1,4712.09,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.262,0.0,5759.1,0.0,93.997,0,0.0,1,5098.62,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.242,0.0,5759.1,0.0,93.9965,0,0.0,1,5504.72,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.222,0.0,5759.1,0.0,93.9959,0,0.0,1,5926.31,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.202,0.0,5759.1,0.0,93.9953,0,0.0,1,6363.39,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.182,0.0,5759.1,0.0,93.9946,0,0.0,1,6812.3,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.162,0.0,5759.1,0.0,93.9938,0,0.0,1,7270.74,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.142,0.0,5759.1,0.0,93.993,0,0.0,1,7738.29,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.122,0.0,5759.1,0.0,93.9921,0,0.0,1,8213.97,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
